Tweet,Sentiment,Polarity
imajsaclaimant Halifax Paralympic star Hannah Cockroft speaks about disability becoming a taboo,Negative,-0.076923077
VestsCanada 12 We received these photos from someone in the UWR fb group Post was taken down quickly thankfully Still it was met,Positive,0.055555556
This is so sad,Negative,-0.25
saleemkhan 1328ET NOW Livestream of Barho childrens funeral The former Syrian refugee familys seven children died in a house fire,Neutral,0
dcbdbc Peter Evander McKerrow emerged as one of the most active and respected black secular leaders of the last quarter of the 19th,Positive,0.058823529
Those of the Islamic faith are now making their way to the front for prayer Halifax NEWS957,Positive,0.083333333
somardrawoh Where do African Nova Scotians live in Halifax Here is a map produced by the NeighbourhoodChange project using 2016 Cens,Neutral,0
BrettCBC Seven children dead A father in a medicallyinduced coma A mother who fled Syria with her family now destroyed,Negative,-0.111111111
CTVAtlantic LIVE NOW Funeral for seven Barho children killed in Halifax house fire ,Negative,-0.071428571
BrettCBC The largest funeral Halifax has seen in recent memory 1800 chairs here Remembering Ahmed Rola Mohamad Ola Hal,Neutral,0
BrettCBC The largest funeral Halifax has seen in recent memory 1800 chairs here Remembering Ahmed Rola Mohamad Ola Hal,Neutral,0
CanadaMoments Friends family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children,Neutral,0
DanielSimmsHRM Tweeting is useless because people who have no clue of history or even live in Halifax add their tw ,Neutral,0
Slowly rebuilding my stamina as I recover from injury Hope its a smooth sail from this point onwards strava ,Positive,0.133333333
CanadaMoments Friends family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children,Neutral,0
dcbdbc Louisa Ann Johnson was a dressmaker shopkeeper and churchwoman in Halifax deeply involved in the concerns of the African B,Negative,-0.066666667
Poor babies ,Neutral,0
dcbdbc Peter Evander McKerrow emerged as one of the most active and respected black secular leaders of the last quarter of the 19th c,Positive,0.055555556
BrettCBC The largest funeral Halifax has seen in recent memory 1800 chairs here Remembering Ahmed Rola Mohamad Ola Hal,Neutral,0
my heart omggggg May Allah grant this mother patience and strength to get through this God only knows what she is ,Positive,0.0625
CBCCanada Halifax funeral for 7 children lost in fire open to public ,Negative,-0.083333333
Such a privilege to meet AngelaRayner in Halifax today Many thanks Angela you were an inspiration We are the ,Positive,0.214285714
VestsCanada 12 We received these photos from someone in the UWR fb group Post was taken down quickly thankfully Still it was met,Positive,0.055555556
MoczyTV THEvsnz Halifax Much deserved Youre humble genuine and entertainingdisplaytextrange2786,Positive,0.181818182
CityNews Mourners will descend upon a Halifax hall today for the funeral of seven children who died in a house fire ,Neutral,0
geoffregan After this unimaginable tragedy our community has come together to support each other after the loss of these 7 children,Negative,-0.142857143
CBCCanada Halifax funeral for 7 children lost in fire open to public ,Negative,-0.083333333
BrettCBC Watch Live Barho family funeral in Halifax,Neutral,0
This account is not accident Halifax This account is not accident This account is not accident This account is not ,Neutral,0
Freshpressed juice Pictured here is our Tropical Breeze watermelon pineapple orange and Green Zinger ,Neutral,0
wearenorth99 Bank Lobbying SCAMS Same as SNCLavelin Trudeau PAY for PLAY Scandal SPREAD the WORD 100X La ,Neutral,0
Join the Halifax Health team See our latest job opening here Nursing DaytonaBeach FL,Neutral,0
mydatatest What are parking rates Halifax,Neutral,0
MikeSavageHFX My heart will be in Halifax tomorrow when our community honours the lives of the seven Barho children The ummahmasjid,Neutral,0
JdeMontreal Des milliers de personnes ont fait le dplacement samedi aux funrailles des sept enfants syriens dcds en dbut de sem,Neutral,0
CTVAtlantic WATCH LIVE Mourners gather to remember seven children killed in Halifax house fire ,Negative,-0.066666667
BrettCBC The largest funeral Halifax has seen in recent memory 1800 chairs here Remembering Ahmed Rola Mohamad Ola Hal,Neutral,0
VedicSlayer The Nobles were of Scottish descent and had been settled in Ireland for about 5 centuriesMargaret was educated at the H,Neutral,0
CanadaMoments Friends family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children,Neutral,0
BrettCBC The family has asked for emergency staff to be part of todays ceremony Representatives from Halifax fire police services,Negative,-0.0625
wickdchiq Bank Lobbying SCAMS Same as SNCLavelin Trudeau PAY for PLAY Scandal SPREAD the WORD 100X Large ,Neutral,0
CanadaMoments Friends family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children,Neutral,0
BrettCBC The largest funeral Halifax has seen in recent memory 1800 chairs here Remembering Ahmed Rola Mohamad Ola Hal,Neutral,0
VestsCanada 12 We received these photos from someone in the UWR fb group Post was taken down quickly thankfully Still it was met,Positive,0.055555556
BrettCBC The largest funeral Halifax has seen in recent memory 1800 chairs here Remembering Ahmed Rola Mohamad Ola Hal,Neutral,0
CanadaMoments Friends family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children,Neutral,0
All they hoped for was a chance to survive in a new country,Neutral,0
My heart sank seeing the seven bodies lined up at the front May Allah rest their souls in peace and may he give s ,Positive,0.052631579
RIP ,Neutral,0
BrettCBC Seven children dead A father in a medicallyinduced coma A mother who fled Syria with her family now destroyed This he,Negative,-0.1
No matter what they passed away as Canadians And this familys pain is one shared by the nation that embraces them ,Negative,-0.066666667
BrettCBC The largest funeral Halifax has seen in recent memory 1800 chairs here Remembering Ahmed Rola Mohamad Ola Hal,Neutral,0
CanadaMoments Friends family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children,Neutral,0
